"","id","title","geography","geography_iso","document_types","sectors","events","documents","description"
"413",1620,"Energy Conservation Act (Chapter 92C)","Singapore","SGP","Law","Economy-wide;Energy;Industry;Transport","01/07/2012|Law passed;31/05/2014|Last amendment","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczRJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e04ae7167124859026fbb708626703868879a2ac/f|","This Act mandates energy efficiency requirements and energy management practices, to promote energy conservation, improve energy efficiency and reduce the environmental impact of energy use.<br>&nbsp;<br>&nbsp;Under the Act, large energy users in the industry and transport sectors that consume at least the equivalent of 54 tera-joules of energy per calendar year in at least two out of the three preceding calendar years must appoint at least one energy manager to manage energy use. These companies or transport facility operators are also required to monitor and report energy use and greenhouse gas emissions, and submit energy efficiency improvement plans on an annual basis to the relevant agencies.<br>&nbsp;<br>&nbsp;The Act also consolidates the legislation for mandatory energy labelling and minimum energy performance standards for household appliances, as well as fuel economy labelling of motor vehicles, previously stipulated under the Environmental Protection and Management Act (Cap 94A).<br>&nbsp;<br>&nbsp;The Act is jointly administered by the Ministry of the Environment and Water Resources and Ministry of Transport. The Minister for the Environment and Water Resources oversees the measures for the industry and households sectors while the Minister for Transport oversees the measures for the transport sector."
"414",1621,"National Environment Agency Act (Chapter 195)","Singapore","SGP","Law","Energy;Industry;Transport;Waste;Water","01/07/2002|Law passed;31/03/2003|Last amendment","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczBJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--313e8928132d4459b0c3d38573b98e42de757936/f|","The Act provides for the establishment of the National Environment Agency, its tasks, functions and responsibilities in preventing, abating and controlling air, water, land and food pollution. Provisions are made for the prevention and control of pollution of the air, water and land both by domestic and industrial pollutants: smoke, cinders, solid particles, liquids, sewage, gases, fumes, gases, vapours and radioactive substances. It is required to promote energy efficiency, the use of clean energy, the use of clean technologies, the use of efficient pollution control technologies and waste recycling.<br />
<br />
The powers of the National Environment Agency also include the ability to request information from and collaborate or co-operate with any person, whether in Singapore or elsewhere, on matters related to or connected with weather and climate, and it may also collect, compile and analyse statistical information related to or connected with climate and weather (among other subject matters)."
"415",1622,"Energy Market Authority of Singapore Act (Chapter 92B)","Singapore","SGP","Law","Energy","01/04/2001|Law passed;01/03/2012|Last amendment","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc3dJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--82d1e64f95d007a6aca780cdb7c199dbc1547b2b/f|","This Act establishes the Energy Market Authority (EMA) of Singapore. It states that the function and duty of the EMA is to create a market framework in respect of the supply of electricity or gas which promotes and maintains fair and efficient market conduct and effective competition or, in the absence of a competitive market, which prevents the misuse of monopoly or market power.<br />
<br />
As well as promoting the development of the gas and electricity industries, and advising the government on national needs, policies and strategies relating to energy utilities, a key role of the EMA is to promote the efficient use of energy in Singapore (with specific provisions for gas and electricity detailed in the Gas Act and the Electricity Act respectively). The remainder of the Act specifies technical provisions, such as the transfer of property, assets, liabilities and employees, as well as the constitution of the EMA.<br />
<br />
Along with the Gas Act, Electricity Act and the Public Utilities Act, the Energy Market Authority of Singapore Act was passed to restructure and liberalise the energy sector."
"416",1623,"Electricity Act (Chapter 89A)","Singapore","SGP","Law","Energy;Industry","01/04/2001|Law passed;01/05/2006|Last amendment","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc3NJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--84bdad41a7b9be953f252bc172779fe5b3958a14/f|","This Act creates a competitive market framework for the electricity industry, and makes provision for the safety, technical and economic regulation of the generation, transmission, supply and use of electricity. It specifies that the EMA is to promote the efficient use of electricity by consumers and to promote the economic efficiency and maintenance of such efficiency in the electricity industry. It also specifies that the EMA is to ensure that electricity licensees whose prices are controlled by the EMA are able to provide an efficient, financially viable service.<br />
<br />
Along with the Gas Act, Public Utilities Act and the Energy Market Authority of Singapore Act, the Electricity Act was passed to restructure and liberalise the energy sector. The Electricity Act makes provisions to open up the generation and distribution of electricity to full competition."
"417",1624,"Gas Act (Chapter 116A)","Singapore","SGP","Law","Energy;Industry;Transport","12/04/2001|Law passed;14/02/2008|Last amendment","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc29JIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--578058a5f81ab818246eeb904a5c8f5162c7de78/f|","This Act creates a competitive market framework for the gas industry, and makes provision for the safety, technical and economic regulation of the transport and retail of gas. It specifies that the EMA is to promote the efficient use of gas by consumers and to ensure that gas licensees whose prices are controlled by the EMA are able to provide an efficient, financially viable service.<br>&nbsp;<br>&nbsp;Along with the Electricity Act, Public Utilities Act and the Energy Market Authority of Singapore Act, the Gas Act was passed to restructure and liberalise the energy sector. The Gas Act makes provisions to open up gas importation and distribution to full competition via licensing."
"418",8587,"Carbon Pricing Act no 23/2018","Singapore","SGP","Law","Economy-wide","11/04/2018|Law passed||;29/02/2020|Budget passed||;01/03/2022|Budget 2022 amending tax rates||","Preparatory 2018 budget |https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXdHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--910e64899464fa8858218e8fa24a6a5e1e74af9f/f|en;Link to official website |https://sso.agc.gov.sg/Act/CPA2018|en","This law requires the reporting of and the payment of a tax in relation to greenhouse gas emissions, and amends the <a href=""https://climate-laws.org/cclow/geographies/singapore/laws/energy-conservation-act-chapter-92c"">Energy Conservation Act</a>.&nbsp;<br><br>The 2018 budget law stipulated that Singapore will impose a carbon tax entering into force in 2019. All facilities producing 25,000 tonnes or more of greenhouse gas emissions in a year will have to pay a carbon tax. The carbon tax will initially be S$5 per tonne of greenhouse gas emissions from 2019 to 2023. The Government will review the carbon tax rate by 2023, with plans to increase it to between S$10 and S$15 per tonne of emissions by 2030. The the 2022 budget, presented by the government in March 2022, considerably hikes these figures. The tax should be put at S$25 in 2024 and 2025, and S$45 in 2026 and 2027. The 2030 target now stands at between S$50 and S$80."
"419",10856,"Supply Act 12/2022","Singapore","SGP","Act","Economy-wide","23/03/2022|Approved||","Full text of Supply Act|https://sso.agc.gov.sg/Acts-Supp/12-2022/Published/20220324?DocDate=20220324&WholeDoc=1|;Explanatory booklet detailing outstanding measures|https://www.mof.gov.sg/singaporebudget/resources/budget-booklet/budget-booklet-english|;Navigator of main support measures|https://www.mof.gov.sg/docs/librariesprovider3/budget2022/download/pdf/fy2022_budget_navigator.pdf|","The Supply Act is Singapore's budget law. Under the 2022 version, the country notably1) reiterates its ambition to achieve net zero emissions by 2050, 3) increases its targeted public sector green bond issuance, 3) aims to accelerate the adoption of electric vehicles by having more charging points, and 4) sets carbon tax adjustments."
"421",1644,"Carbon Emissions Motor Vehicles tax (within 2009-2010 budget)","South Africa","ZAF","Law","Buildings;Transport","01/09/2010|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcllJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1c7e092b602cd12a07054f1a9b69baa8d4c92361/f|;Full text - part 2|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcmNJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--67587d108fc68b8524e9a645e29b0d4c88f60830/f|","The 2009 Budget introduced an ad valorem CO2 emissions tax on new passenger motor vehicles. However, it was later recommended that the original tax proposal be converted into a flat rate CO2 emissions tax, effective from 1 September 2010. The emissions tax has initially been applied to passenger cars, and extended to commercial vehicles once agreed CO2 standards for these vehicles are set. New passenger cars will be taxed based on their certified CO2 emissions at ZAR75 (USD6.77) per g/km for each g/km above 120 g/km. This emissions tax will be in addition to the current ad valorem luxury tax on new vehicles."
"422",1645,"Taxation Laws Amendment Act, 2009 - Sections 12K and 12L inserted in Act 58","South Africa","ZAF","Law","Energy","01/11/2009|Law passed;01/11/2013|Entry into force","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBclVJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--17d519ee84f7e3a94817fdaeccb8fe00904c6722/f|","Amends the 1962 Income Tax Act. Section 12K - 'Exemption of certified emission reductions' - grants income tax exemption to the sale of certified emission reductions derived from Clean Development Mechanism (CDM) projects in the context of the Kyoto Protocol. The measure has been applied since February 2009 and has been extended until December 2020.<br />
Section 12L grants income tax reductions for energy efficiency savings from certified baselines based on 'energy efficiency savings certificates' issued by an organ determined by Regulations from the Ministry of Energy. These regulations are in tune with the National Energy Act, 2008. The measure applies to the taxable income of any persons in any year of assessment until 1 January 2020."
"423",1646,"National Energy Act 2008","South Africa","ZAF","Law","Economy-wide;Energy;Transport","25/12/2008|Law passed;01/04/2012|Last amendment","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBclFJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--283eb41af9c5ec516710c10290f9be9b39efa7aa/f|","The bill seeks to ensure the availability of diverse energy resources to the economy while supporting economic growth and poverty alleviation. To this end, it intends to provide for energy planning, increased generation and consumption of renewable energies, contingency energy supply, energy feedstock and carriers, and energy infrastructure. It further establishes the South African National Energy Development Institute, responsible for promoting efficient generation and consumption of energy and energy research.<br />
<br />
The Minister of Energy is charged with implementing the Integrated Energy Plan, dealing with all issues related to energy (supply, transformation, storage and demand) including plans related to GHG mitigation within the energy sector.<br />
<br />
The South African National Energy Development Institute is responsible for promoting energy research and development. This function includes, among other things, directing, monitoring, conducting and implementing energy research and technology development in all fields except nuclear energy; fostering innovation, by making grants to educational and scientific institutions."
"425",8800,"Integrated Coastal Management Act (No. 24 of 2008)","South Africa","ZAF","Act","Coastal zones","11/02/2009|Law passed||","Integrated Coastal Management Act (2008)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdm9FIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0642000646cdeab18300d2010891faf86d32f472/f|;Integrated Coastal Management Act Amendment (2014)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdnNFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--689ee41252913df230db35f3a7a6b6ffc0c3ab80/f|","The primary purposes of this law are 1) to determine South Africa's coastal zones, 2) to provide for the co-ordinated and integrated coastal zone management by all spheres of government, 3) to preserve, protect, extend, and enhance the status of coastal public property as being held in trust by South Africa's government, 4) to secure equitable access to the opportunities and benefits of coastal public property, and 5) to give effect to the Republic's international legal obligations regarding coastal management and the marine environment. Specifically, this law defines coastal public property and coastal protection zones, and outlines the federal, provincial, and municipal government responsibilities regarding such property and in such zones. It mandates that the member of the Executive Council responsible for administering this law take into account the ""potential for the number and severity of natural disasters to increase due to the effects of global climate change and other impacts on the environment, and the importance of taking preventive measures to address these threats.""<br><br>This Act establishes a system of integrated coastal and estuarine management in South Africa. The Act provides, within the framework of the National Environmental Management Act, for the coordinated and integrated management of the coastal zone by all spheres of government (national, provincial and municipal) in accordance with the principles of cooperative governance. It was amended by the Act No. 36 of 2014 called ""National Environmental Management: Integrated Coastal Management Amendment Act"" mainly to amend certain definitions, clarify coastal public property and the ownership of structures erected on and in coastal public property, among other things."
"426",8804,"Carbon Tax Act 15","South Africa","ZAF","Act","Industry;Transport","06/01/2019|Law passed||","Carbon Tax Act|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb3NGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--21bc78ee524f81ab0e218f19b4c29d98d8d19e36/f|","The Carbon Tax Act (Act No. 15 of 2019) aims to provide for the imposition of a tax on the carbon dioxide equivalent of greenhouse gas emissions. It defines the calculation of the tax and its application to different activities. The Act includes three annexes containing the fuel combustion emissions factors, fugitive emission factors, industrial processes and product use (IPPU) emission factors, a matrix with the activities sectors and their percentage of allowances, and the amendment of the Customs and Excise Act (1964) regarding the inclusion of the Carbon Tax. The document is notably based on the May 2013's <a href=""https://cer.org.za/wp-content/uploads/2014/05/Carbon-Tax-Policy-Paper-2013.pdf"">Carbon Tax Policy Paper</a>.<br><br>In a <a href=""http://www.treasury.gov.za/documents/national%20budget/2022/speech/speech.pdf"">National Budget Speech in February 2022</a>, the finance minister announced that the carbon tax rate would increase to R144, effective from January 1st, 2022."
"447",4391,"Sri Lanka Sustainable Energy Authority Act","Sri Lanka","LKA","Law","Agriculture;Buildings;Energy;Industry;Transport","18/09/2007|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcUVIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--cd7063ae3f903abc62165502bef4a79dfbd1aa6b/f|","This Act establishes the Sri Lanka Sustainable Energy Authority. The document sets the composition and duties of the Authority.&nbsp;<br><br>The Authority is in charge of 1) identify, assess and develop renewable energy resources with a view to enhancing energy security and thereby derive economic and social benefits to the country, 2) identify, promote, facilitate, implement and manage energy efficiency improvement and energy conservation programmes for use of energy in domestic, commercial, agricultural, transport, industrial and any other relevant sector, 3) promote security, reliability and cost- effectiveness of energy delivery to the country, by policy development and analysis and related information management, and 4) ensure that adequate funds are available for the Authority to implement its objects, consistent with minimum economic cost of energy and energy security for the nation.&nbsp;<br><br>The Authority must also analyse and recommend policies and prepare plans aimed at promoting and developing renewable energy resources. Art. 46 establishes the Sri Lanka Sustainable Energy Fund, which shall be notably financed by fees chargeable from developers for managing the carbon asset of Sri Lanka."
"449",8523,"Electricity Act, 2016","Suriname","SUR","Law","Energy","01/03/2016|Law passed","full text (pdf)|https://www.nvebs.com/wp-content/uploads/2016/03/Elektriciteitswet-2016-zoals-goedgekeurd-door-DNA-dd-1-maart-2016.pdf|nl;full text (pdf)|http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2018/02/SURelectricityact16.pdf|nl","The Electricity Act of 2016 aims at updating Suriname power market's regulations to improve the technical and financial situation of the sector, and allow for privatisations and enhancing the regulatory framework through the creation of the Energy Authority of Suriname and the publication of an Electricity Sector Plan every five years. The Act also phases-out retail price subsidies and introduce renewable energy tenders.<br>&nbsp;<br>&nbsp;The low electricity prices have been a major barrier to the update of renewables in Suriname. The Electricity Act thus aims at reducing subsidies while also improving energy efficiency. Renewable energy from solar and wind sources will benefit from a purchase guarantee. The Act also introduces net metering rules to enable decentralised production and marketisation of renewable energy."
"452",9047,"Law No. 6 of 2018 on Forestry","Syria","SYR","Law","LULUCF;Tourism","04/03/2018|Law passed","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcjRFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bed6f360b5e522aa20545d246e9eb2fbfa355800/f|","This act requires the Forestry Ministry to establish local forestry committees, issue regulations for permitting resource extraction from forests, requires the government to undertake reforestation measures after wildfires, allows the government to establish protected forest lands, and requires the Forest Ministry and Tourism Ministry to create a National Ecotourism System."
"453",8613,"Electricity Act","Taiwan","TWN","Law","Energy;Transport","26/01/2017|Law passed","Full text|http://law.moj.gov.tw/Eng/LawClass/LawAll.aspx?PCode=J0030011(12-mar-18)|","This Act aims at developing and better managing the national electric power resources, regulating electricity supply, facilitating the transformation of energy production, reducing carbon emissions, promoting a diverse energy supply, fair competition and reasonable business practice, protecting the interest of the users, and improving the welfare of the society, so as to fulfil sustainable development.<br />
<br />
The Act seeks in particular to promote renewable energy and energy efficiency."
"454",8615,"Renewable Energy Development Act","Taiwan","TWN","Law","Energy","08/07/2009|Law passed","Full text|https://law.moj.gov.tw/LawClass/LawContent.aspx?PCODE=J0130032(12-mar-18),http://law.moj.gov.tw/Eng/LawClass/LawAll.aspx?PCode=J0130032(12-mar-18)|","This Act aims at encouraging renewable energy use, promoting energy diversification, improving environmental quality, assisting relevant industries and enhancing sustainable development in Taiwan.<br />
<br />
The Ministry of Economic Affairs details a yearly <a href=""https://www.moeaboe.gov.tw/ECW/english/content/Content.aspx?menu_id=3008"">formula for calculating feed-in tariffs for renewables</a>.<br />"
"455",8616,"Climate Change Response Act ","Taiwan","TWN","Law;Framework","Agriculture;Economy-wide;Environment;LULUCF;Social development;Transport","01/07/2015|Law passed||;15/02/2023|Law amended and renamed||","Full text English translation of 2015 Act|https://adapt.epa.gov.tw/eng/dispPageBox/files/741.pdf|en;Full text English translation of 2023 Act |https://oaout.epa.gov.tw/law/EngLawContent.aspx?id=303|en;Full text of 2023 Act |https://oaout.epa.gov.tw/law/LawContent.aspx?id=GL005511|zh","This Act amends and renames the Greenhouse Gas Reduction and Management Act 2015. This Act establishes Taiwan's goal to achieve net zero emissions by 2050 and sets out requirements to formulate decarbonisation and adaptation strategies. The Act also defines a just transition and requires competent authorities to consult with communities that are impacted by the transition, establish national just transition action programs and allocate funds towards such plans.&nbsp;<br><br>This Act prescribes multiple decarbonisation measures, including a cap-and-trade system, carbon levies for domestic emission sources, subsidies and grants to incentivise green technologies, requirements to label carbon footprint on products, and a tax on imports of carbon intensive products designated by regulatory authorities. There are provisions setting out corresponding penalties for non-compliance.&nbsp;<br><br>This Act also establishes a GHG Management Fund, which is derived multiple sources, including the carbon levies and the state's budget.&nbsp;<br><br><br>"
"456",1705,"The Environmental Management Act (EMA)","Tanzania","TZA","Law","LULUCF;Transport;Waste","25/12/2005|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb2NJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c58c5a90f096b8c27cf3459b702f3aee05d54d6d/f|","Note: The EMA is currently under review and expected to be finalsed in early 2018.<br />
<br />
The EMA provides for a legal and institutional framework for sustainable management of the environment. It also outlines principles for management, impact and risk assessments, prevention and control of pollution, waste management, environmental quality standards, public participation, compliance and enforcement. It goes on to establish a basis for the implementation of international instruments on environment, as well as providing for the implementation of the National Environment Policy, repealing the National Environment Management Act of 1983 and advocating the continued existence of the National Environment Management Council. The EMA provided for the establishment of environmental units in all sectors and ministries as conduits of linkage and collaboration in spearheading rational utilization of environmental and natural resources.<br />
Finally, it provides for establishment of The National Environmental Advisory Committee to oversee other related matters.<br />
<br />
EMA establishes the following government bodies with respective powers and responsibilities:<br />
<br />
- The Ministry for Environment is established within the Office of the Vice- President, and is responsible for overall co-ordination and policy articulation of environmental management in the country and provision of the central support functions;<br />
- The National Environmental Advisory Committee (NEAC) advises the Minister responsible for environment and other bodies of government;<br />
- The National Environment Management Council (NEMC) is responsible for enforcement of EMA;<br />
- Sector Environment Sections deliver oversight and management of environmental sectors regarding EMA;<br />
- Regional Secretariats are empowered to designate Regional Environmental Management Experts (REMEs);<br />
- The Regional Environmental Management Expert (REME) is responsible for advising and overseeing implementation and enforcement of EMA at the regional level;<br />
- Local Government Authorities (City, Municipal, District, Township) are empowered to designate or appoint Environmental Management Officers;<br />
- Environmental Management Officers are responsible for oversight of implementation of EMA at the local levels;<br />
- Environmental Committees are established at different LGAs levels with responsibility for oversight and implementation of the EMA within their jurisdiction.<br />
<br />
The Act gives the Local Government Authorities mandate to ensure environmental compliance in their areas of jurisdiction. Additionally, local authorities are charged with drafting Environmental Action Plans relevant to their geographical areas, in compliance with the National Environmental Action Plan.<br />
<br />
The EMA also specifically addresses areas directly or indirectly relevant to climate change. The Act instructs the Minister for Environment (and relevant sector ministries) to take measures to address climate change, with a particular focus on the impacts of climate change and adaptation measures. The Act also manages forests in accordance with the Management of Forest Resources Act of 2002. Furthermore, the Act authorises the Minister and relevant sector Ministries to establish land management guidelines and land planning directives, and allocates responsibility for protection, improvement and nourishment of land to its users and occupiers. Finally, all developers of projects are required to carry out an environmental impact assessment to be reviewed by the National Environment Management Council. Bills, regulations, policies, strategies, programmes and plans that may impact the environment or natural resources are required to conduct and submit a Strategic Environmental Assessment Statement that outlines the likely effects."
"457",9220,"Tanzania Agricultural Research Institute Act (No. 10 of 2016)","Tanzania","TZA","Act","Agriculture;Transport","30/09/2016|Law passed","full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbUVGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--249a25e1497a2e03d7e8e8928a29775a72d6e3cb/f|","This Act establishes the Tanzania Agricultural Research Institute (TARI) as a body corporate and provides with respect to its functions, powers, administration, etc. The Act also establishes the Agricultural Research Development Fund and provides for registration of agricultural research projects and service providers. A person shall not provide or carry out agricultural research service under this Act, unless that person is registered by the Institute as an agricultural research service provider.
Climate change resilience is included as one of the research topics."
"459",9224,"Public Health Act (No. 1 of 2010)","Tanzania","TZA","Act","Health;Waste;Water","25/12/2010|Law passed","full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaG9GIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9cb04451f7b4725aed84898bf94a55f1073581fb/f|","This Act makes provision with respect to matters of public health in Tanzania including control of (communicable) diseases, water pollution in ports, control of mosquitoes, sanitation, solid, liquid and hazardous waste management, control of gasses, sanitary control and quarantine in ports, sewerage and drainage, food safety and hygiene and supply of safe water. It includes provisions related to the adoption of regulations with regard to Climate Change in Art. 171 subsection (m)."
"460",1711,"Energy Industry Act B.E. 2550","Thailand","THA","Law","Energy;Industry;Transport","11/12/2007|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb1FJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b2367f45ce776fb90c848cd7f2e1fb3fe4734d81/f|","The Act established the Energy Regulatory Commission (ERC) to regulate the energy industry, to prevent abuse of power and protect energy consumers and those adversely affected by energy industry operations. In energy efficiency and conservation, the ERC has the following authority and duties:<br />
1) Establish measures to ensure security and reliability of the power system;<br />
2) Inspect the energy industry operations of licensees to ensure efficiency and transparency;<br />
3) Promote knowledge and awareness in relation to energy;<br />
4) Promote and support human resources development in order to increase efficiency in the energy industry;<br />
5) Promote economical and efficient use of energy and the use of renewable energy and low-impact energy, with due consideration of the efficiency of the electricity industry operations and the balance of natural resources."
"461",1712,"Energy Conservation Promotion Act B.E. 2535 and B.E. 2550","Thailand","THA","Law","Buildings;Energy;Transport;Waste","03/04/1992|Law passed;01/06/2008|Law amended","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb0lJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a227207797d80a5682849c25aabccceec2cf1188/f|;Full text - part 2|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb01JIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e705fba7deb1472bde9e8e4db9bb705fc5b7b522/f|","The Energy Conservation Promotion Act has three main components: A compulsory programme that requires 'designated' factories and buildings to conduct energy audit, set targets for energy conservation. It includes a voluntary programme with a focus on small- to medium-sized companies and a complementary programme covering research programmes and awareness raising activities. Measures include:<br />
- Improvement in combustion efficiency of fuels<br />
- Energy recycling (waste heat recovery)<br />
- Prevention of energy loss<br />
- More efficient use of electricity<br />
The act created the Energy Conservation Promotion Fund to finance projects and research related to the issue of energy conservation."
"464",4776,"Regulation No. 9/2007 approving the National Policy for the Forestry Sector","Timor-Leste","TLS","Law","LULUCF","26/07/2007|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbDBIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2b3a0119df3f81596fc1b4155c9f14dbcee83752/f|","Emphasises the role of forests, and afforestation, in tackling climate change."
"466",10982,"Decree-law 6/2020 instituting the legal regime for the protection and conservation of biodiversity","Timor-Leste","TLS","Decree Law","Environment","06/02/2020|Approved||","Full text in official journal (PDF)|https://www.mj.gov.tl/jornal/public/docs/2020/serie_1/SERIE_I_NO_6_A.pdf|pt","This document establishes the legal regime applicable to the conservation of biodiversity and the sustainable use of its components. It notably seeks to shield it from the adverse effects of climate change.&nbsp;<br><br>Article 58 economic instruments and incentives of a non-monetary nature are intended to encourage the conservation of biodiversity and the sustainable use of its components, from a perspective of environmental sustainability and solidarity between generations.&nbsp;The instruments and incentives provided for in the previous number may include the creation of fees for services rendered, payments for environmental services, carbon credit mechanisms, transfer of technology or methodologies necessary for the conservation of biodiversity."
"467",4724,"Law 2008-005 - Framework Law on the Environment","Togo","TGO","Law","LULUCF;Transport","30/05/2008|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb1VIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e3f6672ebb7e3a741f2c8cddb159ca38265755a9/f|","This law sets the general legal framework for environmental management in Togo. It aims to 1) preserve and sustainably manage the environment, 2) guarantee to all citizens an ecologically sound living environment and balanced, 3) create conditions for rational and sustainable management of resources natural for present and future generations, 4) establish the basic principles for managing, preserving the environment against all forms of degradation in order to develop natural resources, to fight against all kinds of pollution and nuisances, and 5) sustainably improve the living conditions of the population while respecting the balance with the surrounding environment.

Article 134. The State shall combat desertification and climate change by ensuring the protection of forests, rangelands and pastures against all forms of degradation, pollution or destruction resulting in particular from overexploitation, overgrazing, excessive clearing , fires, burns or the introduction of unsuitable species.

Article 135. The State may, in the context of the fight against climate change and desertification, grant subsidies in kind or in cash to local authorities, associations, community-based organizations and any natural person carrying out significant activities in these areas. areas."
"469",10376,"Finance laws 2020 and 2021","Togo","TGO","Act","Finance","18/12/2019|Approved||;18/12/2020|New finance law voted in||","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcFlPIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fb48155469c8ecfbf4004dda7870760135209ceb/JOS_24_12_2020%20-%2065%20E%20ANNEE%20N%C2%B047%20BIS.pdf|fr","This law notably provides for exemptions or relief from the tax burden (customs duties and VAT) on the import of new electric and hybrid vehicles. It applies for a duration of maximum five years.&nbsp;"
